fid,NDVI
"1",0.51755089
"2",0.42161658
"3",0.37474394
"4",0.36227435
"5",0.40452
"6",0.5087257
"7",0.37450939
"8",0.30859783
"9",0.3023403
"10",0.411823
"11",0.3359845
"12",0.33656996
"13",0.43635085
"14",0.37551227
"15",0.38222182
"16",0.44757724
"17",0.40002871
"18",0.41449726
"19",0.58669156
"20",0.54981929
"21",0.48971128
"22",0.43471056
"23",0.40591937
"24",0.4459776
"25",0.52906746
"26",0.55510122
"27",0.51238233
"28",0.44410133
"29",0.36831811
"30",0.3261568
"31",0.3570852
"32",0.46914053
"33",0.42151189
"34",0.40782022
"35",0.4660157
"36",0.52980345
"37",0.51091784
"38",0.47676387
"39",0.45233804
"40",0.41881192
"41",0.40859821
"42",0.42475531
"43",0.48194367
"44",0.45725924
"45",0.40618926
"46",0.41035348
"47",0.47716007
"48",0.51293695
"49",0.49147439
"50",0.50399244
"51",0.51662737
"52",0.50275409
"53",0.50225979
"54",0.51544476
"55",0.50244117
"56",0.43689951
"57",0.38759962
"58",0.42837453
"59",0.49412155
"60",0.48118716
"61",0.44937783
"62",0.4915491
"63",0.5306527
"64",0.49830276
"65",0.43069234
"66",0.41118959
"67",0.46935904
"68",0.50442946
"69",0.44718599
"70",0.41760591
"71",0.48173121
"72",0.46053299
"73",0.43150637
"74",0.4517132
"75",0.50423187
"76",0.49576995
"77",0.42199874
"78",0.41708204
"79",0.50002545
"80",0.44717345
"81",0.44085994
"82",0.44439656
"83",0.41767547
"84",0.42189005
"85",0.43142462
"86",0.4830265
"87",0.52143407
"88",0.47025144
"89",0.39747947
"90",0.4201093
"91",0.43041086
"92",0.3638483
"93",0.36269879
"94",0.36192107
"95",0.3401846
"96",0.34679821
"97",0.40939012
"98",0.42346621
"99",0.43557361
"100",0.49224102
"101",0.51480836
"102",0.44098508
"103",0.38546184
"104",0.49548396
"105",0.38662115
"106",0.31309539
"107",0.3232263
"108",0.37780666
"109",0.40392309
"110",0.42907122
"111",0.48204905
"112",0.5048762
"113",0.64267188
"114",0.62843817
"115",0.57388556
"116",0.45263287
"117",0.43632719
"118",0.47645429
"119",0.48282358
"120",0.41028064
"121",0.38408667
"122",0.49250576
"123",0.38347557
"124",0.30821294
"125",0.32376215
"126",0.43511131
"127",0.51808888
"128",0.55422246
"129",0.57054323
"130",0.55142975
"131",0.54638755
"132",0.58766884
"133",0.63799393
"134",0.61499441
"135",0.58214188
"136",0.55200201
"137",0.53807598
"138",0.54362911
"139",0.56495082
"140",0.5368914
"141",0.47904593
"142",0.43881652
"143",0.45854118
"144",0.4498336
"145",0.38528278
"146",0.38905603
"147",0.39455557
"148",0.33364561
"149",0.32854137
"150",0.40439191
"151",0.49257937
"152",0.54227012
"153",0.5497539
"154",0.52640575
"155",0.53072041
"156",0.57043165
"157",0.6261856
"158",0.5950473
"159",0.55048102
"160",0.52823484
"161",0.52746332
"162",0.54310769
"163",0.5446685
"164",0.48878053
"165",0.43925229
"166",0.44911483
"167",0.43348524
"168",0.37670889
"169",0.40397754
"170",0.43193388
"171",0.37461522
"172",0.34584713
"173",0.36602619
"174",0.42608863
"175",0.47324008
"176",0.47555238
"177",0.46334249
"178",0.49785432
"179",0.58221728
"180",0.49133313
"181",0.45756313
"182",0.47973144
"183",0.51359242
"184",0.54097533
"185",0.48846737
"186",0.44777265
"187",0.46966329
"188",0.44443348
"189",0.3754513
"190",0.41333196
"191",0.50061738
"192",0.42604262
"193",0.38503179
"194",0.39036778
"195",0.41930822
"196",0.43743587
"197",0.42709115
"198",0.4275935
"199",0.48554426
"200",0.62865686
"201",0.52136457
"202",0.4034487
"203",0.40915161
"204",0.47865239
"205",0.53233862
"206",0.48003232
"207",0.46091855
"208",0.50187439
"209",0.47124621
"210",0.38361865
"211",0.40893322
"212",0.49959445
"213",0.45911375
"214",0.45284149
"215",0.44142887
"216",0.41822517
"217",0.40603957
"218",0.42441428
"219",0.49158025
"220",0.60171241
"221",0.47235972
"222",0.38116926
"223",0.43784153
"224",0.52481234
"225",0.46462002
"226",0.4598617
"227",0.51470274
"228",0.49650973
"229",0.40201849
"230",0.40149304
"231",0.41838297
"232",0.39976993
"233",0.4311839
"234",0.56469834
"235",0.44735688
"236",0.39274228
"237",0.50770843
"238",0.44847798
"239",0.46303678
"240",0.52438712
"241",0.51844674
"242",0.43911335
"243",0.4231821
"244",0.49238595
"245",0.4842369
"246",0.42571247
"247",0.40225413
"248",0.43299633
"249",0.61064094
"250",0.53551859
"251",0.44374678
"252",0.41764504
"253",0.53910857
"254",0.47814977
"255",0.44042858
"256",0.48121545
"257",0.54231584
"258",0.54425734
