fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","5",1,100.061434992822,1,545.065246582031,545.075927734375
"2","7",1,800.492161728034,1,545.393997192383,545.738708496094
"3","4",1,16910.386792134,1,543.957653158515,544.877319335938
"4","6",1,1901.16837690037,1,544.458595677426,544.880187988281
"5","9",1,200.122988965129,1,544.932342529297,545.373901367188
"6","10",1,1200.73723989801,1,518.285405476888,521.021911621095
"7","12",1,100.061357258761,1,547.0869140625,547.180114746094
"8","11",1,200.122843294055,1,520.431304931641,521.021911621095
"9","14",1,300.184103138861,1,547.593933105469,547.686828613281
"10","15",1,100.061494478956,1,551.844787597656,551.932495117188
"11","16",1,100.061529016995,1,554.260009765625,554.275207519531
"12","13",1,1901.16671692242,1,518.503880550987,521.021911621094
"13","17",1,100.061171962938,0,500.222625732422,500.333923339844
"14","18",1,100.061395538913,1,517.357788085938,518.274597167969
"15","20",1,200.122785167769,1,517.487579345703,517.993225097656
"16","21",1,100.061443358019,1,531.1259765625,531.131103515625
"17","22",1,100.061605605355,1,553.347717285156,553.952697753906
"18","23",1,100.061434603704,1,530.781372070312,530.834533691406
"19","24",1,400.246456359979,1,553.136505126953,553.952697753907
"20","25",1,100.061172198155,0,494.500946044922,494.571380615234
"21","26",1,100.06138668413,1,516.158813476562,516.494750976563
"22","19",1,6904.24577331322,1,548.87158556952,549.802734375
"23","27",1,100.06159357162,1,554.859924316406,554.896911621094
"24","28",1,300.184110094851,1,515.531758626302,515.835510253906
"25","29",1,200.12321458396,1,554.90966796875,554.986633300781
"26","31",1,800.494248221104,1,562.863960266113,563.760314941406
"27","32",1,100.062046581181,1,577.374694824219,577.561096191406
"28","35",1,300.184816606401,1,554.16562906901,554.392028808594
"29","34",1,200.123108651023,1,555.220367431641,555.331848144531
"30","33",1,400.246157325979,1,555.411285400391,555.529174804688
"31","30",1,3201.98675109242,1,572.562644958496,573.06884765625
"32","37",1,100.062088623992,1,573.044982910156,573.06884765625
"33","39",1,100.0615460634,1,555.47265625,555.551208496094
"34","8",1,97760.3203987647,1,552.612537208331,556.441040039063
