fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","4",1,200.122899462585,1,510.416976928711,510.553314208984
"2","5",1,100.061189553177,0,486.299011230469,486.509307861328
"3","6",1,100.061193427478,0,486.374633789062,486.509307861328
"4","7",1,200.122843680903,0,461.955856323242,462.123901367188
"5","8",1,100.061378721031,0,446.714416503906,446.726287841797
"6","9",1,100.062143560266,1,474.925964355469,475.013458251953
"7","10",1,100.061430541333,0,438.152984619141,438.15771484375
"8","11",1,500.311258635949,1,448.283850097656,448.593292236328
"9","12",1,1000.61557447922,0,426.273071289062,426.512237548828
"10","13",1,100.062285491265,1,438.872344970703,438.907073974609
"11","14",1,100.061631492747,0,417.703186035156,417.70785522461
"12","15",1,100.061635298305,0,417.585906982422,417.707855224609
"13","16",1,100.061639728025,0,417.660003662109,417.707855224609
"14","17",1,100.061673551507,0,414.222686767578,414.302307128906
"15","18",1,1300.8101120785,1,434.624516413762,435.067932128906
"16","19",1,100.061741736019,0,409.373870849609,409.380889892578
"17","20",1,100.061763378035,0,408.810180664062,408.822082519531
"18","21",1,600.370837809751,0,402.226298014323,402.335998535156
"19","23",1,100.061817096197,0,402.330780029297,402.335998535156
"20","24",1,2001.23740924057,0,399.696549987793,399.863739013672
"21","22",1,2901.80796590017,1,422.85291369208,423.983428955078
"22","25",1,400.247644744988,0,393.00431060791,393.131103515625
"23","26",1,100.063109166571,1,488.751922607422,490.34912109375
"24","27",1,100.063190702058,1,462.359161376953,462.567138671875
"25","28",1,700.43360451184,0,389.829738071987,390.140289306641
"26","29",1,500.309753126698,0,389.581781005859,389.852233886719
"27","30",1,100.063154058123,1,437.093688964844,437.244079589844
"28","31",1,100.062368604995,1,409.090240478516,409.113647460938
"29","34",1,600.377202958625,1,413.026575724284,413.219421386719
"30","35",1,300.187157583656,1,400.347188313802,400.569610595703
"31","36",1,200.124781974941,1,400.464828491211,400.569610595703
"32","33",1,2901.82997593883,1,424.164666537581,424.811065673828
"33","32",1,6103.78004252916,0,385.53932715244,386.181762695313
"34","37",1,800.503097654262,1,410.948307037354,411.1298828125
"35","38",1,100.063067977026,1,413.764404296875,413.808258056641
"36","40",1,100.06306381739,1,413.779754638672,413.808258056641
"37","39",1,200.122231406625,1,435.226226806641,435.434692382813
"38","41",1,100.062916582508,1,401.676177978516,401.779602050781
"39","42",1,100.061941499531,0,377.567321777344,377.701477050781
"40","43",1,100.062920581375,1,401.518463134766,401.779602050781
"41","44",1,100.061936531158,0,377.69384765625,377.701477050781
"42","45",1,100.061932556215,0,377.669494628906,377.701477050781
"43","46",1,1500.94410244358,0.8,399.102815755208,399.826354980469
"44","47",1,100.062953214743,0,399.689208984375,399.826354980469
"45","49",1,100.061682127474,0,389.621307373047,389.905578613281
"46","50",1,100.061898693093,0,372.941619873047,373.088012695313
"47","51",1,100.061687063891,0,389.522277832031,389.905578613281
"48","52",1,200.123788145022,0,372.967819213867,373.088012695313
"49","54",1,100.061889840639,0,373.015289306641,373.088012695313
"50","48",1,800.499351966369,1,389.385746002197,389.508605957031
"51","55",1,100.061885637697,0,373.0791015625,373.088012695313
"53","56",1,200.124847122934,1,388.425842285156,388.7431640625
"54","58",1,100.061873939354,0,372.069183349609,372.117492675781
"55","57",1,900.555704592029,0,384.419304741753,384.645172119141
"56","59",1,100.061869150319,0,372.054534912109,372.117492675781
"57","53",1,2101.2837340585,1,420.883842831566,421.243682861328
"58","60",1,100.061865101918,0,372.098297119141,372.117492675781
"59","61",1,100.06184884184,0,371.895294189453,371.909912109375
"60","64",1,600.36642316042,1,423.858973185221,424.176513671875
"61","62",1,2101.29850781767,0,371.318289620536,371.57992553711
"62","65",1,300.189171704464,0,377.72954305013,377.947235107422
"63","63",1,7304.55501588742,1,381.581372404752,383.032135009766
"64","67",1,1100.69378952478,0,374.563720703125,374.890167236328
"65","69",1,900.568997575552,1,487.269300672743,487.521484375
"66","70",1,700.436925219838,1,376.562752859933,376.732391357422
"67","68",1,2801.73165637569,0,365.404705592564,365.759948730469
"68","71",1,400.24738358194,0,365.739990234375,365.758911132813
"69","72",1,600.367419190821,0,398.414489746094,398.614929199219
"70","73",1,100.063234907167,1,413.546630859375,413.551879882813
"71","75",1,2701.68571459781,1,373.124159071181,373.572509765625
"72","76",1,700.441778991837,0.714285714285714,365.208980015346,365.514251708985
"73","74",1,4903.03126784251,0,360.253610416334,360.828125
"74","77",1,100.061300980044,0,389.967041015625,390.072784423828
"75","78",1,500.315493086411,1,363.957305908203,364.167175292969
"76","79",1,500.315383558976,0.4,365.558282470703,365.748657226563
"77","82",1,100.062689611688,1,375.416229248047,375.565246582031
"78","81",1,2401.4735791143,0.916666666666667,382.772403717041,383.333862304688
"79","80",1,2501.56130117644,1,361.292756347656,362.160217285156
"80","83",1,900.553080388694,0.777777777777778,377.258917914497,377.562805175781
"81","85",1,200.12296741351,1,374.768661499023,374.869049072266
"82","86",1,100.061107706104,1,437.821380615234,438.023895263672
"83","84",1,1100.68718368956,1,361.499722567472,361.705596923828
