fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","4",1,1901.38005458919,0,210.133149799548,210.851119995117
"2","5",1,100.072651260649,0,210.955322265625,211.010101318359
"3","6",1,1100.79913115932,0,209.281950517134,209.343292236328
"4","8",1,100.072661836166,0,209.278457641602,209.311340332031
"5","7",1,400.290360662271,0,210.78035736084,210.834548950195
"6","9",1,500.362857019587,0,210.998092651367,211.096221923828
"7","11",1,100.072591176897,0,210.781356811523,210.80012512207
"8","12",1,100.072618400271,0,210.216186523438,210.234664916992
"9","10",1,400.290246468096,0,211.047351837158,211.096221923828
"10","13",1,200.14516956103,0,210.793823242188,210.830673217773
"11","14",1,400.290663198277,0,206.600994110107,206.771621704102
"12","15",1,100.072550575947,0,211.318893432617,211.34114074707
"13","17",1,300.217968944809,0,206.749872843424,206.771621704102
"14","18",1,100.072643499705,0,208.080001831055,208.284118652344
"15","19",1,200.145082482253,0,211.353126525879,211.429306030273
"16","20",1,100.072512469895,0,216.637435913086,216.699157714844
"17","21",1,100.072526146425,0,211.804946899414,211.879653930664
"18","22",1,100.072542640206,0,209.361755371094,209.369552612305
"19","23",1,100.072553661128,0,209.223007202148,209.268692016602
"20","24",1,200.144978859229,0,208.570175170898,208.703369140625
"21","25",1,100.072482561867,0,208.577453613281,208.720489501953
"22","26",1,100.072480233444,0,208.570663452148,208.720489501953
"23","16",1,9206.67685698281,0,207.915968024212,208.70068359375
"24","27",1,100.072476973233,0,208.942672729492,208.961349487305
"25","28",1,100.072460276599,0,214.44970703125,214.519668579102
"26","29",1,300.217439557659,0,208.822443644206,208.961349487305
"27","30",1,300.217373938998,0,214.359563191732,214.519668579102
"28","32",1,100.072455488669,0,215.676574707031,215.677734375
"29","33",1,100.071830190544,0,353.988647460938,354.098266601563
"30","31",1,1000.72477143991,0,209.09280090332,209.496383666992
"31","34",1,100.072455084941,0,214.995239257812,215.005599975586
"32","36",1,100.072436062386,0,219.277587890625,219.306411743164
"33","37",1,300.217464694055,0,210.664866129557,210.721069335938
"34","38",1,100.072457802715,0,215.920928955078,215.941375732422
"35","39",1,100.071824633691,0,344.579010009766,344.755401611328
"36","40",1,100.072320651961,0,252.595840454102,252.710708618164
"37","35",1,1000.7248260444,0,209.283961486816,209.736358642578
"38","41",1,300.217472247197,0,211.020812988281,211.131744384766
"39","42",1,300.217456055223,0,209.664479573568,210.102630615234
"40","43",1,200.144975852803,0,209.827331542969,210.102630615234
"41","44",1,200.144981224323,0,209.994247436523,210.102630615235
"42","45",1,100.072270799137,0,282.165466308594,282.376922607422
"43","46",1,200.144948916626,0,213.128227233887,213.210861206055
"44","47",1,200.144986933679,0,210.134735107422,210.176666259766
"45","48",1,100.071812689886,0,324.731994628906,324.823455810547
"46","49",1,100.072496265289,0,210.21110534668,210.289611816406
"47","50",1,100.072496521752,0,210.531997680664,210.543334960938
"48","51",1,100.07200257841,0,297.967254638672,298.450469970703
"49","52",1,600.435002167011,0,211.094566345215,211.636413574219
"50","53",1,800.580015916377,0,211.377243041992,211.723907470703
"51","54",1,200.144011018798,0,287.826171875,288.518646240234
"52","57",1,100.072477136448,0,214.58740234375,214.622589111328
"53","58",1,100.071792787057,0,299.829986572266,300.193023681641
"54","55",1,1601.15950387326,0,215.320993423462,215.907119750977
"55","60",1,100.071770118433,0,300.908599853516,300.997253417969
"56","61",1,100.071999631589,0,281.315795898438,281.631988525391
"57","59",1,200.144986929372,0,214.286468505859,214.306045532227
"58","62",1,600.434877216467,0,214.487673441569,214.539993286133
"59","63",1,100.07199404214,0,278.462463378906,279.259368896484
"60","65",1,100.071991617267,0,277.072204589844,277.222229003906
"61","64",1,1901.37710756966,0,214.59142825478,214.683898925781
"62","66",1,100.071813046059,0,287.801971435547,288.092926025391
"63","68",1,100.071815278323,0,287.574462890625,288.092926025391
"64","69",1,100.071991483273,0,273.256774902344,273.453979492188
"65","67",1,700.507269990689,0,214.642185756138,214.736511230469
"66","70",1,100.071821166202,0,285.538665771484,285.865417480469
"67","71",1,100.072455265501,0,214.551849365234,214.623504638672
"68","72",1,100.07249928551,0,211.818130493164,211.829040527344
"69","74",1,200.144902351429,0,214.572875976562,214.623504638672
"70","75",1,100.072350397706,0,213.269027709961,213.482086181641
"71","73",1,500.361792990298,0,213.207580566406,213.482086181641
"72","76",1,400.289486466674,0,212.784843444824,212.990707397461
"73","56",1,4203.04520221724,0,211.382493155343,211.829040527344
"74","77",1,100.072331651929,0,215.175277709961,215.236236572266
"75","78",1,400.289551814785,0,212.547702789307,212.62403869629
"76","79",1,300.217471748358,0,211.720199584961,211.88508605957
"77","82",1,100.072471471911,0,213.103958129883,213.140670776367
"78","83",1,100.072485191457,0,211.786666870117,211.88508605957
"79","84",1,100.071185515844,1,417.35986328125,417.612762451172
"80","85",1,100.071832829271,0,280.431182861328,280.578155517578
"81","86",1,100.072309687559,0,216.161544799805,216.733779907227
"82","80",1,400.289392580744,0,213.364604949951,213.527359008789
"83","88",1,100.072370270209,0,215.869186401367,215.889846801758
"84","81",1,4803.47712540097,0,212.225372314453,212.624038696289
"85","89",1,200.144690946559,0,213.609619140625,213.701080322266
"86","90",1,600.434509406739,0,215.000831604004,215.225845336914
"87","91",1,200.144767297083,0,216.146148681641,216.207565307617
"88","92",1,100.07234232896,0,213.824996948242,213.871536254883
"89","93",1,100.07241452788,0,215.300643920898,215.302398681641
"90","94",1,100.072435935726,0,214.707382202148,214.736618041992
"91","95",1,200.144901971566,0,214.559410095215,214.653137207031
"92","96",1,100.072284276539,0,217.171310424805,217.216018676758
"93","87",1,1300.93990962277,0,216.224229079026,216.733779907227
"94","97",1,200.144627243571,0,215.870414733887,215.894149780273
"95","98",1,200.144743309356,0,216.535995483398,216.538604736328
