fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","4",1,1000.72664526541,0,206.471322631836,206.629287719727
"2","5",1,5403.91799747443,0,206.668628551342,207.023971557617
"3","6",1,9707.04213382158,0,206.449422148085,207.224914550781
"4","8",1,200.144864166796,0,218.075714111328,218.197845458984
"5","9",1,1100.79582311714,0,239.721793434837,240.037826538086
"6","7",1,20314.7170383136,0,206.749784648125,207.263305664063
"7","11",1,1100.79210043716,0,290.466264204545,291.105194091797
"8","12",1,200.144005192677,0,290.852722167969,290.986206054688
"9","10",1,13309.6407843227,0,209.281765012813,210.07942199707
"10","13",1,200.143977046362,0,275.051696777344,275.152038574219
"11","15",1,3102.24504059233,0,211.969560192477,212.051391601563
"12","16",1,300.217452540703,0,218.768585205078,218.791748046875
"13","17",1,800.571014520538,1,362.611137390137,363.012115478516
"14","18",1,300.213993991027,1,376.83896891276,377.025604248047
"15","20",1,100.071903952747,0,265.545318603516,265.556793212891
"16","19",1,1601.15472948278,0,225.909958839417,226.350280761719
"17","21",1,100.071909838705,0,265.420532226562,265.502349853516
"18","22",1,100.071426444338,1,352.113433837891,352.307861328125
"19","23",1,100.071429236094,1,352.165008544922,352.307861328125
"20","14",1,49635.8769398439,0,209.969666419491,212.288208007813
"21","25",1,100.072488377336,0,227.336334228516,227.381713867188
"22","26",1,100.072209477483,0,219.333465576172,219.429473876953
"23","27",1,100.072490489343,0,227.301406860352,227.381713867188
"24","24",1,1000.72225036513,0,219.384481811523,219.425750732422
"25","28",1,4503.24262644717,0,238.500860934787,239.181915283203
"26","29",1,3202.30344730394,0,251.639429092407,252.045608520508
"27","32",1,100.071470247698,1,337.935943603516,337.960174560547
"28","33",1,200.142945817905,1,337.786254882812,337.960174560547
"29","34",1,100.071960121102,0,254.602203369141,254.618103027344
"30","31",1,1601.15541512903,0,219.378955841064,219.455657958984
"31","37",1,200.143753391982,0,267.967910766602,268.118774414063
"32","35",1,700.505507042166,0,219.395734514509,219.456069946289
"33","38",1,100.071493444499,0,328.517608642578,328.668823242188
"34","36",1,900.646628906659,0,275.973398844401,276.464935302735
"35","39",1,100.071821368299,0,292.316436767578,292.344146728516
"36","40",1,100.071818976139,0,292.325927734375,292.344146728516
"37","41",1,200.143045007251,0,326.59748840332,326.619689941406
"38","42",1,300.21793687134,0,390.61513264974,391.841461181641
"39","43",1,100.072562267829,0,255.529724121094,255.627334594727
"40","30",1,29321.1909909461,0,212.649947026484,215.073883056641
"41","45",1,100.071443872002,1,474.453521728516,474.453521728516
"42","44",1,6004.33208965376,0,224.821744028727,225.996505737305
"43","46",1,4303.10881875426,0,216.764742829079,217.33415222168
"44","47",1,100.071568629821,0,303.593872070312,303.677001953125
