fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","3",1,200.126828016364,1,366.204345703125,366.354858398438
"2","6",1,100.063020729169,1,376.507629394531,376.531860351563
"3","5",1,12307.796183588,1,339.088993475689,343.578216552735
"4","7",1,500.31561122532,1,352.756109619141,353.078002929688
"5","10",1,100.063138934202,1,353.769989013672,353.890014648438
"6","8",1,400.253549514571,1,343.140411376953,343.578216552734
"7","11",1,100.063423719897,1,368.870483398438,368.92041015625
"8","9",1,300.18889010814,1,354.812469482422,355.092987060547
"9","13",1,100.062765551615,1,340.288635253906,340.790985107422
"10","12",1,300.189838354185,1,332.601908365885,332.647918701172
"11","14",1,100.062753171369,1,340.051727294922,340.087463378906
"12","17",1,100.062893705035,1,347.481689453125,347.604919433594
"13","16",1,200.125100928126,1,354.254364013672,354.533264160156
"14","15",1,500.314578195277,1,346.275115966797,346.349212646484
"15","19",1,100.063135428471,1,336.606170654297,336.994201660156
"16","24",1,100.062503673835,1,358.262786865234,358.458526611328
"17","21",1,300.188697693753,1,347.511271158854,347.748352050781
"18","22",1,200.125943053165,1,361.143981933594,361.413269042969
"19","25",1,100.063155168027,1,331.269989013672,331.496673583984
"20","20",1,400.251367623277,1,358.23844909668,358.451507568359
"21","26",1,100.062860338076,1,358.741546630859,358.790130615234
"22","29",1,100.063180382363,1,331.140014648438,331.258880615234
"23","30",1,200.124896988156,1,332.730285644531,335.097198486328
"24","31",1,100.062728232762,1,359.644653320312,359.7001953125
"25","32",1,100.06286434253,1,358.787628173828,358.788940429688
"26","28",1,200.125753931003,1,359.296844482422,359.478271484375
"27","34",1,100.062930262764,1,346.746154785156,346.997253417969
"28","35",1,200.126339098788,1,331.772933959961,331.899871826172
"29","36",1,100.063439851103,1,376.100494384766,376.126068115234
"30","37",0,100.062806640402,1,357.899353027344,357.899353027344
"31","38",1,100.062852835399,1,358.32666015625,358.438812255859
"32","39",1,200.125766277255,1,359.321823120117,359.478271484375
"33","33",1,200.125811588252,1,347.851974487305,347.941650390625
"34","40",1,100.063192417321,1,331.186676025391,331.202270507813
"35","23",1,600.38029970834,1,342.247477213542,342.323211669922
"36","42",1,100.062839981692,1,357.537658691406,357.754211425781
"37","45",0,100.062827640795,1,357.733459472656,357.733459472656
"38","46",1,100.062830978364,1,357.451477050781,357.639892578126
"39","18",1,6604.14545911504,1,357.15375773112,357.639892578125
"40","43",1,400.251466041082,1,358.477851867676,358.788940429688
"41","47",1,100.062930740067,1,347.836547851562,347.841705322266
"42","44",1,200.124934512307,1,334.976211547852,336.967712402344
"43","27",1,900.562822636683,1,354.099646674262,354.317413330078
"44","49",1,100.06284369115,1,357.844116210938,357.857238769531
"45","50",1,100.06291407306,1,347.882080078125,348.101013183594
"46","41",1,3001.8729384942,1,333.149306233724,337.051177978516
"47","51",1,100.062933844689,1,348.039398193359,348.081481933594
"48","52",1,100.06307415897,1,351.86181640625,351.988647460938
"49","54",1,200.126510496717,1,366.38932800293,366.56396484375
"50","55",1,100.062358453055,1,340.469299316406,340.674682617188
"51","56",1,100.062918208656,1,347.291534423828,347.431549072266
"52","57",1,300.188048398995,1,356.792470296224,356.962829589844
"53","59",1,100.062798542785,1,357.156616210938,357.639892578126
"54","60",1,300.188557055604,1,357.109141031901,357.582916259766
"55","58",1,200.12549813732,1,360.939102172852,360.975433349609
"56","62",1,100.062827424903,1,357.049896240234,357.582916259766
"57","63",1,1901.19401304948,1,354.007703279194,357.582916259766
"58","65",1,200.124419678526,1,294.062149047852,294.260375976563
"59","61",1,200.1245751268,1,336.924957275391,338.039611816406
"60","67",1,100.062383779557,1,347.425537109375,347.701507568359
"61","69",1,100.062823348446,1,357.433166503906,357.582916259766
"62","53",1,1601.01080283418,1,357.337862014771,359.718872070313
"63","48",1,3001.89904182614,1,362.321693929036,364.158813476563
"64","70",1,100.06227892224,1,337.236206054688,338.434051513672
"65","71",1,100.062379405834,1,346.908508300781,347.701507568359
"66","68",1,200.125099830562,1,352.106597900391,352.19384765625
"67","72",1,100.062798649189,1,361.335632324219,361.940948486328
"68","73",1,100.062811405689,1,360.002075195312,361.130554199219
"69","74",1,100.063199963013,1,359.891052246094,359.963806152344
"70","66",1,400.249192246469,1,339.453392028809,339.582641601563
"71","77",1,200.124746638467,1,347.285873413086,347.70150756836
"72","80",1,200.125585373142,1,360.62516784668,361.940948486328
"73","75",1,600.379348290386,1,361.373062133789,361.938995361328
"74","83",1,100.062366884551,1,347.567779541016,347.70150756836
"75","79",1,200.125547521864,1,357.109649658203,357.345184326172
"76","64",1,900.56634631654,1,346.620747884115,347.019012451172
"77","84",1,100.063074318517,1,350.587066650391,350.626678466797
"78","76",1,700.435318703821,1,293.146575927734,293.633697509766
"79","86",1,100.062266393972,1,340.279998779297,340.331481933594
"80","87",1,100.062552202959,1,351.844909667969,351.988159179688
"81","85",1,300.190020875307,1,338.219492594401,338.306488037109
"82","88",1,100.062179277884,1,292.899871826172,293.633697509766
"83","90",1,100.062971739855,1,346.765655517578,346.92074584961
"84","91",1,100.063069737051,1,350.409332275391,350.502166748047
"85","93",1,100.063192404399,1,365.719055175781,365.7216796875
"86","89",1,400.251011962479,1,353.905662536621,354.73046875
"87","94",1,100.062975040404,1,346.827667236328,346.92074584961
"88","96",1,100.062383299402,1,366.534332275391,366.752044677734
"89","97",1,100.062409050704,1,368.848297119141,368.952362060547
"90","98",1,100.06293867511,1,345.535552978516,345.547058105469
"91","81",1,2401.51770854567,1,361.350738525391,362.966369628906
"92","100",1,100.062166057294,1,295.075317382812,295.147888183594
"93","95",1,200.124483114341,1,334.206405639648,335.734619140625
"94","102",1,200.125889075221,1,345.223388671875,345.547058105469
"95","103",1,100.063394407218,1,330.371917724609,330.377227783203
"96","82",1,3101.93151908409,1,336.179550663117,339.273101806641
"97","104",1,100.062372681219,1,367.638488769531,367.674285888672
"98","99",1,800.503890412976,1,346.604904174805,346.920745849609
"99","105",1,200.126231630275,1,355.651290893555,355.736297607422
"100","109",1,100.062241557171,1,335.949890136719,336.039276123047
"101","110",1,200.125823233917,1,346.821090698242,346.866943359375
"102","111",1,200.126258411328,1,355.669448852539,355.747161865234
"103","112",1,100.063383399684,1,330.165802001953,330.184020996094
"104","108",1,200.124415502418,1,328.321884155273,328.447113037109
"105","113",1,200.124729486008,1,367.211761474609,367.286987304688
"106","114",1,100.062790213327,1,349.671173095703,349.684112548828
"107","92",1,2101.32484064053,1,347.153996058873,348.549865722656
"108","116",1,100.063139603357,1,355.750823974609,355.759216308594
"109","117",1,200.126298697549,1,355.771957397461,355.8466796875
"110","106",1,2001.26912481635,1,331.350929260254,332.135772705078
"111","118",1,100.062279528996,1,338.864013671875,338.90625
"112","119",1,100.062358451425,1,367.125305175781,367.286987304688
"113","120",1,100.062579288031,1,352.756164550781,352.786071777344
"114","101",1,2101.31698981044,1,352.618756975446,353.9306640625
"115","121",1,100.062786211027,1,349.658172607422,349.684112548828
"116","122",1,100.063028594654,1,349.052032470703,349.0615234375
"117","124",1,100.063334929931,1,328.378051757812,328.427368164063
"118","107",1,900.559283771203,1,294.45652601454,295.329986572266
"119","125",1,100.062579034769,1,352.726379394531,352.786071777344
"120","126",1,100.062789967691,1,349.60400390625,349.684112548828
"121","115",1,500.314620091114,1,346.673681640625,346.725708007813
"122","123",1,400.25216762902,1,348.613273620605,348.944641113281
"123","128",1,200.126347850019,1,355.231063842773,355.424926757813
"124","78",1,8605.38679109962,1,352.201299623001,352.875762939454
