fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","4",1,100.062958855473,1,321.408386230469,321.4697265625
"2","5",1,1300.82348508446,1,302.414344200721,303.014770507813
"3","6",1,100.063317862572,1,299.334777832031,299.467407226563
"4","7",1,1801.13007914554,1,286.222579956055,287.000671386719
"5","9",1,100.062769923708,1,286.940765380859,287.000671386719
"6","8",1,600.378007705556,1,291.302485148112,291.47738647461
"7","10",1,100.0632735783,1,292.442047119141,292.456665039063
"8","11",1,100.063265732373,1,290.708160400391,290.783020019531
"9","13",1,100.063261622796,1,290.670928955078,290.783020019531
"10","12",1,300.189024600666,1,286.490030924479,286.802490234375
"11","14",1,100.063248888298,1,290.422393798828,290.550109863281
"12","16",1,200.126485844958,1,290.41455078125,290.550109863281
"13","17",1,100.06323756231,1,290.478057861328,290.550109863281
"14","15",1,500.313748450077,1,274.290417480469,274.486755371094
"15","19",1,100.063212326262,1,285.949462890625,286.125854492188
"16","20",1,100.063012398314,1,285.889495849609,285.906616210938
"17","21",1,200.126412988291,1,286.06510925293,286.125854492188
"18","18",1,300.187438444234,1,279.711446126302,279.846252441406
"19","22",1,200.126388433913,1,285.874359130859,286.021026611329
"20","23",1,200.126372305793,1,285.856842041016,286.021026611329
"21","25",1,100.06269953202,1,267.062622070312,267.361755371094
"22","24",1,1200.75801685033,1,285.563367207845,286.021026611328
"23","29",1,100.063556543726,1,328.460845947266,328.544036865234
"24","26",1,300.189061844721,1,279.98915608724,280.129760742188
"25","30",1,100.063544883335,1,328.205078125,328.368133544922
"26","31",1,100.063516587135,1,323.207427978516,323.351898193359
"27","32",1,200.127013337333,1,322.909790039062,323.172424316406
"28","33",1,100.062086251972,1,267.669647216797,267.688415527344
"29","28",1,2401.51417479041,0.458333333333333,278.525227864583,279.534301757813
"30","27",1,2001.25367358717,1,266.768649291992,267.361755371094
"31","34",1,100.062666502956,1,267.226013183594,267.361755371094
"32","35",1,800.504273899191,0.25,277.742038726807,277.95556640625
"33","36",1,1100.68832226127,1,259.651741721413,259.946228027344
"34","37",1,100.062304175401,1,292.669860839844,292.729583740234
"35","40",1,100.062010030902,1,260.4814453125,260.541412353516
"36","41",1,100.062006139022,1,260.527648925781,260.541412353516
"37","39",1,900.562735700572,0,255.013724433051,255.157836914063
"38","38",1,1000.63004009199,0,273.940921020508,274.379669189453
"39","42",1,300.184674192918,1,241.919748942057,242.002182006836
"40","44",1,500.314880379068,0,273.025964355469,273.227203369141
"41","45",1,100.062966977886,0,273.143218994141,273.227203369141
"42","46",1,100.063163373037,1,304.980743408203,305.310455322266
"43","48",1,100.062938343501,0,267.671508789062,267.954284667969
"44","47",1,600.380311969086,1,304.020746866862,304.287811279297
"45","49",1,1901.19518516539,0,267.053526225843,267.483215332032
"46","50",1,700.443639712874,1,304.059831891741,304.287811279297
"47","53",1,100.06288904947,0,267.397521972656,267.483215332031
"48","43",1,9205.66976888012,0.141304347826087,242.628996807596,243.192520141602
"49","54",1,100.06288514426,0,267.472747802734,267.483215332031
"50","55",1,300.184982955805,0,243.202540079753,243.296142578125
"51","56",1,100.061667164322,0,243.243011474609,243.296142578125
"52","58",1,100.061772607267,0,243.532485961914,243.566345214844
"53","57",1,6003.70255730546,0,242.994446309408,243.296142578125
"54","59",1,100.063350917131,1,298.477264404297,298.652679443359
"55","52",1,29818.6259061295,0,245.408755206422,247.628189086914
"56","62",1,100.062633189897,0,249.926376342773,249.932662963867
"57","63",1,100.063342292851,1,298.404235839844,298.452728271484
"58","64",1,900.561413816293,1,245.088212754991,245.176696777344
"59","65",1,100.06311114796,1,274.322265625,274.526641845703
"60","67",1,200.126208482077,1,274.30876159668,274.526641845703
"61","66",1,1601.01296831545,1,295.032693862915,295.3671875
"62","68",1,1901.19832769292,0.421052631578947,272.773853502775,273.26449584961
"63","69",1,4202.63616789493,0,252.228508722214,252.857238769531
