fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","4",1,100.066832131008,0,357.168884277344,357.262420654297
"2","5",1,300.202272595139,0,240.166300455729,240.317901611328
"3","6",1,200.13485164888,0,240.401924133301,240.416000366211
"4","7",1,100.067427991075,0,240.710006713867,240.838745117188
"5","9",1,100.066849864903,0,331.990386962891,332.060821533203
"6","8",1,600.404573143343,0,240.966888427734,241.569717407227
"7","10",1,100.067441938038,0,242.485870361328,242.521896362305
"8","12",1,100.067451970885,0,243.711929321289,243.748748779297
"9","11",1,800.539453338715,0,241.187953948975,241.65251159668
"10","15",1,200.133013212064,0,370.893585205078,371.008514404297
"11","14",1,1100.74179481523,0,241.31887401234,242.041534423828
"12","16",1,100.066922324768,0,291.333282470703,291.466827392578
"13","18",1,100.066929131572,0,290.503601074219,290.836578369141
"14","19",1,100.067420456035,0,244.391479492188,244.396850585938
"15","21",1,200.134404784243,0,246.037132263184,246.139236450195
"16","23",1,100.067197190074,0,246.119216918945,246.139236450195
"17","20",1,900.6068232322,0,244.09814453125,244.396850585938
"18","25",1,100.067449248338,0,243.010192871094,243.025405883789
"19","13",1,6304.24646693806,0,245.00910223098,245.290542602539
"20","26",1,100.067427669012,0,244.357498168945,244.401672363281
"21","22",1,1801.21036693215,0,245.227763705783,245.576293945313
"22","24",1,500.335968602914,0,246.020724487305,246.139236450195
"23","27",1,300.202261713566,0,245.224268595378,245.29054260254
"24","29",1,200.134426940349,0,252.105308532715,252.158599853516
"25","30",1,100.067222723563,0,251.959884643555,251.972747802734
"26","31",1,100.067448771384,0,243.479507446289,243.511322021484
"27","32",1,100.066657659831,0,306.801239013672,306.935699462891
"28","33",1,200.134383884899,0,246.423751831055,247.241073608398
"29","36",1,100.067250427674,0,247.754699707031,247.760101318359
"30","37",1,100.067257512535,0,247.663604736328,247.689727783203
"31","38",1,100.067448713002,0,243.649398803711,243.672760009766
"32","39",1,100.067029546131,0,271.437042236328,271.600158691406
"33","28",1,2101.41291252419,0,244.89295014881,245.576293945313
"34","42",1,100.067033113795,0,271.160369873047,271.600158691406
"35","43",1,100.067061919777,0,269.662811279297,269.773010253906
"36","44",1,100.067180081562,0,248.559997558594,248.565979003906
"37","46",1,100.06732835772,0,246.544921875,246.849594116211
"38","47",1,100.067069168144,0,269.482879638672,269.529174804688
"39","45",1,400.269101953309,0,247.339164733887,247.426849365234
"40","48",1,100.067310749029,0,244.305557250977,244.463439941407
"41","49",1,100.067331977829,0,246.550354003906,246.849594116211
"42","40",1,900.603969371994,0,267.873718261719,267.982360839844
"43","41",1,500.337320836668,0,244.088619995117,244.216903686524
"44","51",1,100.067424535169,0,244.777069091797,244.864852905273
"45","52",1,100.067346476484,0,246.185470581055,246.338973999024
"46","53",1,100.066686764883,0,298.565185546875,298.63037109375
"47","17",1,5403.64230294572,0,241.93121987802,242.556106567383
"48","35",1,1801.20947281976,0,246.698010762533,247.346252441406
"49","55",1,100.067342892406,0,245.813507080078,245.832321166992
"50","54",1,400.26941666042,0,246.120204925537,246.338973999023
"51","50",1,1100.74056468619,0,244.161063454368,244.463439941407
"52","57",1,100.067346497497,0,245.58674621582,245.832321166992
"53","58",1,100.067378210661,0,245.797210693359,245.956146240234
"54","60",1,200.134795174818,0,245.738372802734,245.832443237305
"55","61",1,100.066613491275,0,335.494567871094,335.512878417969
"56","34",1,5703.81920521718,0,273.111519796806,273.624084472658
"57","62",1,100.067338429741,0,243.892761230469,244.463439941407
"58","59",1,300.202162709436,0,245.712895711263,245.869140625
"59","63",1,100.066979325027,0,272.940124511719,273.624084472657
"60","64",1,100.067339304485,0,243.85871887207,244.463439941407
"61","65",1,200.134809854557,0,245.02815246582,245.106597900391
"62","66",1,100.067435020464,0,244.244354248047,244.277114868164
"63","68",1,200.134689094848,0,244.060989379883,244.463439941407
"64","69",1,100.066639620869,0,312.709686279297,313.110992431641
"65","70",1,100.06734990055,0,243.940002441406,244.463439941407
"66","73",1,100.066672099347,0,318.864074707031,318.907073974609
"67","72",1,200.134770547273,0,245.841339111328,245.858840942383
"68","74",1,100.066661264107,0,320.336181640625,320.345245361328
"69","67",1,2401.6069233375,0,273.154590606689,273.624084472657
"70","75",1,100.066997785994,0,256.374176025391,256.412994384766
"71","76",1,200.134069779248,0,253.652381896973,253.926666259766
"72","78",1,200.133529892075,0,292.374206542969,292.583648681641
"73","80",1,100.066989731742,0,257.155700683594,257.297454833984
"74","81",1,100.067004583369,0,255.791915893555,255.981246948242
"75","82",1,100.067023387994,0,254.400100708008,254.477737426758
"76","83",1,200.134098143084,0,252.996940612793,253.532653808594
"77","84",1,100.067094241153,0,252.061172485352,252.106842041016
"78","86",1,100.067179817474,0,248.565002441406,248.568710327148
"79","71",1,2401.61702050536,0,243.726139068604,244.463439941407
"80","90",1,100.067406492482,0,244.324279785156,244.463439941406
"81","77",1,200.134890786372,0,243.296989440918,243.393325805664
"82","88",1,100.066986314836,0,257.0146484375,257.297454833984
"83","89",1,200.134119654424,0,252.766616821289,252.880249023438
"84","87",1,400.269657177967,0,243.969806671143,244.463439941406
"85","91",1,100.067423590284,0,243.526000976562,243.714279174805
"86","79",1,700.468481447257,0.857142857142857,273.224866594587,273.624084472656
"87","92",1,100.067068518896,0,251.997924804688,252.198394775391
"88","85",1,700.469956840156,0,250.442875453404,250.598159790039
"89","93",1,600.402723661391,0,250.719876607259,250.820449829102
"90","95",1,100.067083243455,0,251.368255615234,251.396224975586
"91","98",1,100.067086639057,0,251.066467285156,251.396224975586
"92","96",1,200.134904276812,0,246.083457946777,246.433883666992
"93","94",1,600.401543163345,0,272.863042195638,272.881317138672
"94","56",1,2801.88074690523,0,246.935471670968,247.346252441407
"95","100",1,300.200801871833,0,272.852752685547,272.875854492188
"96","97",1,700.469309420616,0,250.300580705915,250.568069458008
"97","101",1,100.067090248805,0,250.683502197266,250.715759277344
"98","104",1,100.067093900405,0,250.567459106445,250.715759277344
"99","105",1,100.067154708144,0,247.390350341797,247.406158447266
"100","106",1,100.067459065467,0,247.032897949219,247.174789428711
"101","102",1,300.200575506839,0,274.652821858724,274.805480957031
"102","107",1,200.133810857951,0.5,272.852005004883,272.879211425781
"103","108",1,200.13388300396,0,272.834915161133,272.869995117188
"104","109",1,100.067105002992,0,249.804473876953,249.820907592774
"105","110",1,100.067143732274,0,248.150543212891,248.372360229492
"106","111",1,100.067470189533,0,250.190307617188,250.270919799805
"107","99",1,2301.53858766687,0.739130434782609,272.856872558594,272.882446289063
"108","103",1,2801.87364246912,0,272.853200639997,272.875854492188
"109","112",1,100.06696836598,0,265.380004882812,265.632415771484
"110","113",1,200.134069673892,0,248.714981079102,248.882858276367
"111","114",1,200.134098626848,0,248.362663269043,248.699966430664
"112","115",1,200.134219613392,0,249.609367370605,249.820907592773
"113","116",1,200.134262488689,0,248.602005004883,248.729843139648
"114","117",1,100.066878364654,0,272.829986572266,272.904998779297
"115","118",0,100.066917652264,0,272.885009765625,272.885009765625
"116","119",1,400.267758902686,0,272.84545135498,272.864288330078
"117","120",1,100.066944067716,0,272.854461669922,272.864288330078
"118","126",0,100.066946825595,0,272.893402099609,272.893402099609
"119","121",1,100.067029534373,0,248.265548706055,248.882858276367
"120","122",1,200.134112712694,0,248.363464355469,248.699966430664
"121","123",1,100.067118803971,0,249.341781616211,249.529998779297
"122","124",1,100.066932649584,0,272.847503662109,272.864288330078
"123","125",0,100.066936091287,0,272.880004882812,272.880004882812
"124","133",1,100.066935884824,0,272.850006103516,272.864288330078
"125","127",1,100.06695057248,0,272.855163574219,272.864288330078
"126","134",1,100.066947391839,0,272.863342285156,272.864288330078
"127","128",1,100.067025835335,0,248.286361694336,248.882858276367
"128","129",1,100.067043721327,0,249.354934692383,249.408233642578
"129","130",1,100.067061519017,0,248.175994873047,248.699966430664
"130","131",1,100.066900156729,0,272.845458984375,272.875854492188
"131","132",0,100.066903686791,0,272.877899169922,272.877899169922
"132","137",1,100.067084024369,0,249.690490722656,249.752914428711
"133","139",1,100.066889055655,1,272.917053222656,272.980804443359
"134","140",1,100.06692917319,0,272.809997558594,272.875854492188
"135","141",1,100.067040175665,0,249.737976074219,249.756423950195
"136","142",1,200.134291620867,0,247.554618835449,247.580123901367
"137","138",1,200.134926458821,0,248.657295227051,248.841110229492
"138","143",1,200.134091160377,0,249.645683288574,249.756423950195
"139","144",1,200.13427694852,0,247.564331054688,247.580123901367
"140","145",1,100.067466870882,0,248.594223022461,248.841110229492
"141","146",1,100.066106903076,1,543.521728515625,543.643676757813
"142","135",1,900.603162057232,0,248.593838161892,248.882858276367
"143","136",1,1000.67069541191,0,248.419476318359,248.699966430664
