fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","5",1,100.066878859769,0,304.587829589844,304.837310791016
"2","4",1,5803.91059813747,0,243.265172761062,243.704025268555
"3","7",1,900.60206829448,0,302.629876030816,302.950408935547
"4","9",1,300.200782349333,0,291.932861328125,292.030731201172
"5","10",1,300.200823651045,0,291.782419840495,291.849578857422
"6","6",1,12308.2921199001,0,242.629945708484,243.79150390625
"7","11",1,300.200905580074,0,279.791727701823,279.991546630859
"8","13",1,2001.3336999616,0,301.858013916016,302.796295166016
"9","14",1,400.266820187739,0,302.614242553711,302.796295166016
"10","15",1,100.0667124787,0,302.782348632812,302.796295166016
"11","12",1,55537.3144040024,0,248.352933481577,250.112701416016
"12","8",1,14109.5127103847,0,243.060916548925,243.772415161133
"13","17",1,5203.48246733379,0,266.458159813514,267.020141601563
"14","18",1,1400.93650106672,0.714285714285714,268.082458496094,268.224151611328
"15","19",1,4903.27917276433,0,266.983937788983,267.489318847656
"16","21",1,100.066907609755,0,267.450134277344,267.489318847657
"17","20",1,1300.87713773741,0,250.639029869666,250.882568359375
"18","22",1,2801.87259219092,0,267.98168182373,268.223785400391
"19","23",1,1501.0124994106,0.2,252.825616455078,253.355621337891
"20","24",1,600.40108678682,0,268.093373616536,268.223785400391
"21","25",1,200.135017277091,0,253.328163146973,253.355621337891
"22","26",1,300.200509895105,0,267.892262776693,268.223785400392
"23","27",1,800.534431563865,0,274.872467041016,275.159088134766
"24","28",1,1601.06841427757,0,275.109975814819,275.371734619141
"25","29",1,500.337623051484,1,262.490661621094,262.678863525391
"26","31",1,100.067530398432,1,262.666046142578,262.678863525391
"27","30",1,1501.00092604494,0,277.338940429688,277.750183105469
"28","32",1,100.066701356205,0,279.998718261719,280.040313720703
"29","33",1,400.266750048439,0,280.244369506836,280.412658691406
"30","36",1,100.066493551538,0,314.622985839844,314.715515136719
"31","35",1,7404.92964588141,0,287.420333037505,289.060607910156
"32","34",1,3902.63442873291,0.948717948717949,264.358712220803,264.929656982422
"33","38",1,300.201581199886,0,266.961334228516,267.362548828125
"34","37",1,400.2662527762,0,292.194725036621,292.352172851563
"35","40",1,500.332753811206,0.6,292.197064208984,292.352172851563
"36","41",1,100.066541428503,1,292.257873535156,292.352172851563
"37","39",1,2201.4631425821,0.818181818181818,298.979020552202,299.327819824219
"38","42",1,100.066449824895,1,304.720031738281,304.797393798828
"39","43",1,100.068253325589,0,388.814514160156,388.814849853516
"40","44",1,300.1993111294,1,304.778961181641,304.799896240234
"41","45",1,500.331503494061,1,328.647552490234,329.158660888672
"42","47",1,100.066533804638,0,315.827056884766,315.9208984375
"43","48",1,100.067666667921,1,277.363006591797,277.438751220703
"44","46",1,3402.25561932271,1,314.815093994141,315.972381591797
"45","16",1,171014.635739491,0,250.146149833416,253.551406860352
"46","49",1,4202.84308882832,0.857142857142857,276.498414539156,277.438751220703
"47","51",1,100.067722355016,1,280.206909179688,280.227661132813
"48","52",1,100.066299443133,1,324.790435791016,324.854583740234
"49","53",1,400.265173657797,1,324.74129486084,324.854583740235
"50","55",1,100.067495075054,0,328.611358642578,328.672027587891
"51","54",1,2001.35495522624,1,286.837496948242,287.325378417969
"52","56",1,1000.65781608276,1,437.653918457031,438.108734130859
"53","50",1,14909.9851227978,0,252.804663843757,254.165512084961
"54","58",1,100.066997129295,0,254.118057250977,254.165512084962
"55","57",1,700.474935440288,0,299.246852329799,299.427001953125
"56","59",1,2601.76541867357,0,299.22845693735,299.585174560548
"57","61",1,100.065984076762,1,387.938140869141,388.143341064453
"58","60",1,400.264813493122,1,340.63200378418,340.819122314453
"59","62",1,100.065987491107,1,387.913879394531,388.143341064453
"60","63",1,100.066195916501,1,340.757171630859,340.819122314453
"61","64",1,100.067947823904,0,302.906585693359,302.988616943359
"62","65",1,500.339771172905,0,302.597827148437,302.98861694336
"63","67",1,300.200879012584,0,256.008728027344,256.031494140625
"64","66",1,2001.33777410566,0.25,264.198416137695,264.823303222657
"65","70",1,700.46709369641,1,303.807896205357,304.136535644531
"66","71",1,100.066852869058,0,267.8505859375,267.979034423828
"67","69",1,1601.0886270348,0,315.125694274902,315.407806396485
"68","72",1,100.06661452644,1,340.447235107422,340.526153564453
"69","73",1,200.136284422537,0,328.451065063477,328.557403564453
"70","74",1,100.066548465751,1,365.827941894531,366.037811279297
"71","75",1,100.06602548837,1,376.314147949219,376.399993896484
"72","76",1,200.132032567111,1,376.337280273438,376.421234130859
"73","77",1,100.068185034266,0,340.604187011719,340.703582763672
"74","78",1,200.136376588489,0,340.644943237305,340.703582763672
"75","79",1,1701.15465311566,0,337.268396714154,338.296112060547
"76","80",1,200.136550667172,0,363.122680664062,363.379486083984
"77","81",1,100.068280933716,0,363.304748535156,363.379486083985
"78","82",1,100.066316026903,1,351.763244628906,351.916839599609
"79","68",1,24116.1373207591,0,254.000364184874,255.421325683594
"80","85",1,200.136660050426,0,375.745223999023,375.830688476563
"81","87",1,200.136829697702,0,387.455810546875,387.487060546875
"82","83",1,7304.90962206031,0,260.992364334734,261.370239257813
"83","86",1,1100.75181815721,0,375.544658314098,375.997802734375
"84","89",1,100.066943680635,0,255.80012512207,255.802398681641
"85","88",1,1200.803035177,0,255.273019154867,255.451156616211
"86","91",1,100.066947028099,0,255.787231445312,255.802398681641
"87","84",1,11007.4090576309,0,261.014349642667,261.814727783203
"88","94",1,100.065582760551,1,450.742492675781,450.816009521484
"89","93",1,1000.66901060974,0,255.590361022949,255.684265136719
"90","95",1,600.393444632238,1,450.640614827474,450.816009521485
"91","92",1,3102.07614224538,0,255.649219635994,255.802398681641
"92","98",1,100.066886203771,0,255.772216796875,255.809097290039
"93","100",1,100.066882331041,0,255.783767700195,255.809097290039
"94","97",1,1100.73054321553,1,327.475957697088,327.743408203125
"95","101",1,100.066874744429,0,255.766754150391,255.823699951172
"96","102",1,200.131102520565,1,451.087371826172,451.102600097656
"97","104",1,100.065546063241,1,451.065673828125,451.075500488281
"98","105",1,100.065726660017,1,402.020172119141,402.079956054688
"99","107",1,100.065541851742,1,451.000122070312,451.075500488281
"100","106",1,400.265777011286,1,315.737045288086,315.907409667969
"101","103",1,3202.13347717776,0,274.558575630188,275.582397460938
"102","109",1,800.531964337162,1,304.453998565674,304.793182373047
"103","90",1,10707.1834240797,0,255.365814636801,255.943710327149
"104","96",1,11607.8154275207,0,261.281301301101,262.542541503906
"105","99",1,8705.83284684864,0,255.377225853931,255.943710327148
"106","108",1,12908.6200452256,0,260.919980071312,261.674530029297
"107","110",1,1901.28079575568,0,266.720041375411,266.871459960938
"108","112",1,900.606529837067,1,268.170155843099,268.223968505859
"109","111",1,16511.1314135824,0.636363636363636,265.115022046638,266.871459960938
"110","114",1,1000.68179833452,1,327.260098266602,327.790313720703
"111","117",1,100.06490365701,0,437.318786621094,437.378997802734
"112","115",1,700.458200659894,1,338.668718610491,339.061126708984
"113","120",1,200.136441638169,1,339.282501220703,339.423889160156
"114","118",1,500.330896457017,1,328.457678222656,328.597534179688
"115","121",1,500.328073334123,1,304.20126953125,304.7587890625
"116","122",1,200.131199902331,1,304.314651489258,304.768402099609
"117","123",1,100.068113439775,1,316.14013671875,316.179779052734
"118","124",1,100.068109444808,1,316.165924072266,316.179779052734
"119","125",1,700.459028217185,1,304.824763706752,304.974578857422
