fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","4",1,100.074575289851,1,439.582244873047,439.710845947266
"2","5",1,100.074577604886,1,437.879669189453,438.247222900391
"3","7",1,300.223732863553,1,436.218149820964,436.873260498047
"4","9",1,200.149150740821,1,436.040679931641,436.873260498047
"5","6",1,8005.96999158891,1,436.871853256226,437.430480957031
"6","11",1,100.07458237122,1,435.061248779297,435.264770507813
"7","12",1,100.074378275604,1,445.689727783203,445.759063720703
"8","10",1,600.447420606273,1,436.463623046875,436.873260498047
"9","13",1,100.074375920813,0,445.626342773438,445.759063720703
"10","14",1,200.149125051801,1,436.424346923828,436.873260498047
"11","8",1,3002.23792294023,0.966666666666667,431.889626057943,434.631072998047
"12","15",1,200.149111148145,1,436.841125488281,437.129608154297
"13","16",1,100.074552397477,1,437.046966552734,437.129608154297
"14","18",1,100.07436676306,1,443.914794921875,444.146820068359
"15","19",1,100.074603113404,0,400.24169921875,400.880554199219
"16","21",1,200.149173593963,0,392.333984375,392.602630615234
"17","20",1,400.297466194723,0.75,443.954109191895,444.088897705078
"18","22",1,400.298620915622,1,439.455986022949,439.697723388672
"19","17",1,9807.31867523398,1,436.990871507294,440.249298095703
"20","24",1,100.074400065991,1,387.713714599609,388.377685546875
"21","23",1,200.148728542379,0,444.003768920898,444.088897705078
"22","26",1,100.074575448059,0,387.208251953125,387.296783447266
"23","25",1,500.373228807701,1,439.417730712891,439.697723388672
"24","27",1,100.074573068996,0,386.710540771484,387.296783447266
"25","28",1,100.07463805005,1,439.689056396484,439.816436767578
"26","30",1,100.074493533699,1,447.685241699219,448.046356201172
"27","31",1,100.074632983305,1,440.344665527344,440.450622558594
"28","29",1,200.148723652004,0,443.998626708984,444.088897705078
"29","32",1,200.149254917342,1,440.258880615234,440.663238525391
"30","33",1,300.223864834174,1,440.343536376953,440.663238525391
"31","34",1,100.074617121718,1,440.228576660156,440.663238525391
"32","35",1,200.149227038957,1,440.36376953125,440.663238525391
"33","36",1,200.149217866536,1,440.479095458984,440.663238525391
"34","37",1,100.074789095495,1,510.979919433594,511.293853759766
"35","38",1,100.074357095815,0,444.84912109375,444.911468505859
"36","39",1,100.07459855557,1,440.96240234375,441.091583251953
"37","40",1,100.074596410501,1,441.069030761719,441.091583251953
"38","41",1,700.519790410064,0,445.255026681083,445.557434082032
"39","42",1,200.148492785054,0,445.484146118164,445.557434082031
"40","43",1,100.07458263071,1,443.243499755859,443.304504394531
"41","44",1,100.074103235442,0,444.828460693359,444.885925292969
"42","45",1,100.074242975679,0,445.498352050781,445.557434082031
"43","46",1,100.074295651342,0,449.462768554688,449.486968994141
"44","47",1,200.148611686483,0,449.797836303711,449.820007324219
"45","48",1,100.074311925622,0,449.812652587891,449.829559326172
"46","49",1,100.074110523798,0,444.789489746094,445.158813476563
"47","50",1,100.074589102936,1,446.596008300781,447.187408447266
"48","51",1,200.148382619082,0,442.088668823242,442.319061279297
"49","52",1,100.074465599493,1,452.430603027344,452.645660400391
"50","53",1,200.149194590456,1,447.628555297852,447.786560058594
"51","54",1,100.07478238747,1,452.490692138672,452.516387939453
"52","55",1,200.148363438027,0,442.194564819336,442.234069824219
"53","56",1,100.074455940805,1,452.336395263672,452.358673095703
"54","57",1,100.074528674828,0,345.147186279297,345.161987304688
"55","58",1,200.149217515776,1,448.447402954102,449.057952880859
"56","59",1,200.148286198208,0,446.902282714844,446.927856445313
"57","60",1,100.074521795264,0,338.94970703125,339.191833496094
"58","61",1,100.073912468739,0,454.659271240234,454.661315917969
"59","62",1,100.073939683614,0,451.928405761719,451.97689819336
"60","63",1,100.074630869611,1,457.594024658203,457.818725585938
"61","66",1,100.07389561116,0,454.223663330078,454.264495849609
"62","67",1,100.074633438489,1,458.459167480469,458.610137939453
"63","64",1,800.591568699863,0,451.657230377197,451.976898193359
"64","68",1,200.148782899254,0,309.774993896484,311.192962646484
"65","69",1,100.073962111492,0,452.846343994141,453.204132080078
"66","65",1,1300.96696302167,0,310.186713585487,310.861236572266
"67","70",1,200.148792782391,0,308.875930786133,309.138916015625
"68","71",1,100.074639897095,1,459.640014648438,459.737182617188
"69","72",1,100.074345091998,0,300.192626953125,300.427764892578
"70","73",1,100.074642678432,1,459.673187255859,459.737182617188
"71","74",1,100.074773563247,1,407.225402832031,407.419677734375
"72","76",1,200.148664551671,0,297.414947509766,297.483917236328
"73","77",1,100.074349940056,0,300.798187255859,300.850799560547
"74","78",1,100.074406858766,0,310.966125488281,310.992858886719
"75","79",1,100.074493741908,0,329.668701171875,329.898223876953
"76","80",1,100.073875972535,0,455.522277832031,455.683227539063
"77","75",1,600.443935494055,0,453.004252115885,453.201965332031
"78","81",1,100.074644835026,1,459.545959472656,459.925262451172
"79","82",1,100.074420919467,0,313.626159667969,313.938781738281
"80","83",1,100.074768472114,1,405.886322021484,406.43115234375
"81","84",1,200.148540444963,0,283.356536865234,283.832580566406
"82","85",1,100.074285764655,0,286.853424072266,286.902587890625
