fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"1","4",1,1000.74373647262,0.6,450.809924316406,451.105102539063
"2","5",1,100.074338114064,0,450.921051025391,451.069244384766
"3","6",1,100.074535649037,0,353.450714111328,353.50521850586
"4","7",1,100.074335633544,0,450.946990966797,451.069244384766
"5","8",1,200.149066980928,0,353.341232299805,353.505218505859
"6","9",1,100.074395027244,0,328.532196044922,328.595825195313
"7","10",1,200.149052806199,0,351.379745483398,351.549377441406
"8","11",1,500.374086850905,1,424.848486328125,424.947235107422
"9","12",1,1000.74518777285,0,339.635186767578,340.191711425781
"10","14",1,100.074402090337,0,315.278289794922,315.384216308594
"11","13",1,400.297464935051,0,303.954750061035,304.111419677734
"12","16",1,100.074495673703,0,328.496368408203,328.959411621094
"13","15",1,1100.81852142222,0,314.980779474432,315.384216308594
"14","17",1,600.445869102841,0,291.723317464193,291.910858154297
"15","18",1,400.297807808791,0,324.441421508789,324.522003173828
"16","19",1,800.595781147655,0,325.583026885986,325.973785400391
"17","20",1,200.148488031758,0,278.230895996094,278.355377197266
"18","21",1,100.074235573004,0,277.858551025391,277.929656982422
"19","22",1,400.296908882563,0,277.68408203125,277.825317382813
"20","24",1,100.074196988135,0,267.736022949219,268.025634765625
"21","23",1,200.14973714191,1,450.600082397461,450.651336669922
"22","26",1,300.222483285586,0,265.658701578776,265.715759277344
"23","25",1,1200.89013061492,0,265.858131408691,266.232635498047
"24","27",1,100.074750731234,1,389.30029296875,389.373657226563
"25","28",1,100.074748206593,1,389.296051025391,389.373657226563
"26","30",1,400.296427326801,0,253.619682312012,253.941970825195
"27","29",1,400.296519198106,0,255.623115539551,256.026702880859
"28","31",1,900.666539884405,0,242.625647650825,243.048431396484
"29","32",1,100.074695037387,1,365.12890625,365.136199951172
"30","33",1,1801.33150600002,0,231.41877746582,231.646881103516
"32","34",1,9406.94438921433,0,222.430097701702,223.289123535156
"33","36",1,1501.12019636715,1,352.505346679687,353.426696777344
"34","38",1,100.073809354799,0,219.516647338867,219.518249511719
"35","39",1,100.073811294802,0,219.508605957031,219.518249511719
"36","40",1,100.07381393743,0,219.517395019531,219.518249511719
"37","41",1,1100.82129562274,1,340.452264959162,341.08236694336
"38","42",1,200.149317169446,1,340.826171875,341.082366943359
"39","35",1,36326.8470345925,0,222.654293470146,225.081909179688
"40","43",1,2701.99915281369,0.62962962962963,228.845311482747,229.217071533203
"41","44",1,1501.11978453642,1,327.955212402344,328.468719482422
"42","48",1,100.075054486631,0,304.535827636719,304.70703125
"43","47",1,300.223293812713,0,339.818705240885,339.892333984375
"44","45",1,1200.90052709531,0,304.165685017904,304.411499023438
"45","49",1,100.075085494609,0,312.147918701172,312.157531738281
"46","50",1,300.222188953892,0,231.640762329102,231.677764892578
"47","52",1,100.074660765589,1,317.037536621094,317.113525390625
"48","54",1,100.074663040927,1,317.061798095703,317.113525390625
"49","53",1,1300.97947892256,0,350.697887714093,351.451202392578
"50","57",1,100.074095683813,1,231.498031616211,231.4990234375
"51","58",1,100.074100620404,0,231.474105834961,231.506469726563
"52","51",1,4403.30436119658,0,311.17509876598,312.219818115234
"53","59",1,400.296350085526,0,231.457733154297,231.48828125
"54","60",1,200.1482328985,0,231.631256103516,231.647979736328
"55","55",1,3102.2986981775,0.774193548387097,232.118655789283,232.364288330078
"56","46",1,4803.55468010454,0,231.134303410848,231.438446044922
"57","56",1,1501.12529791688,0,301.809790039062,302.305908203125
"58","61",1,200.150651954464,0,338.795394897461,338.987579345703
"59","62",1,1901.42758163984,0,316.310177451686,316.987884521484
"60","66",1,1000.75509722106,0.7,413.082141113281,413.606079101563
"61","65",1,900.672161794384,0.888888888888889,303.150380452474,303.716949462891
"62","67",1,100.075154068531,0,324.796539306641,324.892303466797
"63","63",1,1501.1297601129,0,337.344022623698,337.615417480469
"64","70",1,500.37797626204,1,448.944293212891,449.303192138672
"65","71",1,700.52666990523,0,328.392974853516,328.563415527344
"66","73",1,100.075248126639,0,328.875701904297,328.936645507813
"67","69",1,2902.18368852884,0,333.964304956897,334.782623291016
"68","74",1,700.526809224684,0,328.932569231306,329.177429199219
"69","75",1,1000.75237715506,0,328.906805419922,329.1787109375
"70","77",1,100.074306940136,1,267.62939453125,267.767395019531
"71","76",1,300.225641833735,0,325.45127360026,325.569854736328
"72","68",1,7905.93852358119,0,323.745772735982,324.892303466797
"73","78",1,500.37096258183,0,235.183612060547,235.262405395508
"74","79",1,2401.78203676379,0.0833333333333333,252.01402982076,252.57763671875
"75","72",1,6404.82166976493,0,336.94767665863,338.181671142578
"76","80",1,500.373431274435,0,291.595806884766,292.071655273438
"77","64",1,13510.1267921048,0,298.570415129485,299.58432006836
"78","82",1,200.150729498942,0,340.659484863281,340.851898193359
"79","84",1,100.075366876612,0,340.851898193359,340.85189819336
"80","81",1,2501.85529282357,0.8,243.561607055664,243.740188598633
"81","85",1,200.148437706288,0.5,243.590766906738,243.740188598633
"82","83",1,1100.82150161982,0,290.985817649148,291.309814453125
"83","88",1,300.222617539577,0,243.787490844727,243.838226318359
"84","89",1,100.074423091428,0,365.6181640625,365.645812988281
"85","86",1,800.593711090216,0.25,243.720972061157,243.835083007813
"86","87",1,600.452213811222,0,350.135269165039,350.236999511719
"87","92",1,100.074980965233,0,292.518585205078,292.566986083985
"88","90",1,200.149971389328,0,292.586441040039,292.607879638672
"89","93",1,100.075080861629,1,316.902008056641,317.039489746094
"90","94",1,400.30040851183,1,328.693557739258,328.798065185547
"91","95",1,100.07497882843,0,292.407073974609,292.566986083985
"92","96",1,100.075063785131,0,315.350067138672,315.376770019531
"93","97",1,100.07497641287,0,292.409637451172,292.566986083985
"94","98",1,100.074974185613,0,292.35205078125,292.566986083985
"95","100",1,100.075134319311,1,340.830169677734,341.023712158203
"96","99",1,300.224912452279,0,292.399892171224,292.566986083984
"97","102",1,100.075136373925,1,340.945343017578,341.023712158203
"98","103",1,100.075366639416,0,352.490325927734,352.598449707031
"99","104",1,200.150729403133,0,352.421768188477,352.598449707031
"100","101",1,1501.12010455714,0,278.019545491536,279.086975097656
"101","91",1,7405.49114922283,0.824324324324324,243.448455398147,243.839447021484
"102","105",0,300.222605821793,1,243.839808146159,243.839808146159
"103","107",1,100.075364627293,0,352.810638427734,352.831909179688
"104","108",1,300.224855867797,1,290.588897705078,290.588897705078
"105","106",1,5303.97081336472,0.30188679245283,286.361454225936,287.28549194336
"106","109",1,300.224024084862,0,277.58295694987,277.807006835938
"107","112",1,100.07495377626,1,292.326477050781,292.461791992188
"108","110",1,1300.97976140946,0.230769230769231,352.605726975661,352.989288330078
"109","111",1,3602.69284885167,0,274.659513685438,275.280456542969
"110","114",1,200.150742015685,1,352.888137817383,353.126800537109
"111","116",1,200.150746826665,1,352.891311645508,353.501922607422
"112","113",1,10908.1466704461,0,270.837159043058,271.615753173828
"113","118",1,100.075384315453,1,360.459747314453,360.588287353516
"114","117",1,10307.6913274415,0,268.197018225216,269.170562744141
"115","119",1,300.223889991466,0,267.893137613932,268.079010009766
"116","121",1,200.150772630237,0.5,360.548690795898,360.588287353516
"117","123",1,100.074974322284,1,303.777526855469,303.832275390625
"118","120",1,1401.04715483543,0,276.181028093611,276.501251220703
"119","122",1,1701.26842742279,0,267.762571447036,268.044708251953
"120","124",1,100.074978399207,1,304.111114501953,304.168182373047
"121","126",1,100.074981020181,1,304.004333496094,304.168182373047
"122","127",1,100.07539679372,0,361.559143066406,361.641326904297
"123","128",1,100.074983209197,1,304.138854980469,304.168182373047
"124","115",1,5103.78502332588,0.96078431372549,244.957380706189,245.206497192383
"125","125",1,900.671231305518,0,266.368957519531,266.581878662109
"126","130",1,100.075486271788,1,388.394561767578,388.500701904297
"127","132",1,100.074587138311,0,268.203491210938,268.204772949219
"128","134",1,100.074998955417,1,314.826477050781,314.966888427734
"129","136",1,200.150002377224,1,314.756896972656,314.966888427734
"130","135",1,400.299279952131,0,280.144943237305,280.415374755859
"131","137",1,100.075379705464,0,375.845611572266,375.870666503906
"132","129",1,4803.61996593146,0.6875,361.192171732585,361.641326904297
"133","138",1,600.452673661814,1,361.639511108398,361.728546142578
"134","133",1,1501.11340100889,0.866666666666667,245.692249552409,245.851791381836
